sample_index,time_s,packet_index,packet_sequence,sequence_gap_before,packet_tick_ms,packet_flags,stm32_dropped_packets,ch1_raw,ch2_raw,ch3_raw,ch4_raw,ch5_raw,ch6_raw
266,2.660000000,1,49,0,125441,half,0,6,2,1,0,2471,5
267,2.670000000,1,49,0,125441,half,0,0,0,1,7,2367,8
268,2.680000000,1,49,0,125441,half,0,0,3,1,0,2468,4
269,2.690000000,1,49,0,125441,half,0,2,2,1,2,2365,0
270,2.700000000,1,49,0,125441,half,0,2,2,0,0,2468,3
271,2.710000000,1,49,0,125441,half,0,0,2,0,2,2351,2
272,2.720000000,1,49,0,125441,half,0,0,1,0,8,2468,0
273,2.730000000,1,49,0,125441,half,0,0,0,0,6,2359,0
274,2.740000000,1,49,0,125441,half,0,0,0,1,6,2479,8
275,2.750000000,1,49,0,125441,half,0,0,3,0,4,2330,2
276,2.760000000,1,49,0,125441,half,0,5,13,1,2,2471,6
277,2.770000000,1,49,0,125441,half,0,0,1,2,6,2347,9
278,2.780000000,1,49,0,125441,half,0,0,0,3,0,2478,1
279,2.790000000,1,49,0,125441,half,0,6,0,1,5,2345,15
280,2.800000000,1,49,0,125441,half,0,5,0,0,2,2473,8
281,2.810000000,1,49,0,125441,half,0,1,2,2,0,2362,1
282,2.820000000,1,49,0,125441,half,0,0,1,0,5,2467,9
283,2.830000000,1,49,0,125441,half,0,0,1,0,0,2341,0
284,2.840000000,1,49,0,125441,half,0,10,1,0,3,2467,14
285,2.850000000,1,49,0,125441,half,0,4,4,0,1,2344,9
286,2.860000000,1,49,0,125441,half,0,6,13,3,2,2469,8
287,2.870000000,1,49,0,125441,half,0,1,0,0,5,2347,8
288,2.880000000,1,49,0,125441,half,0,0,2,1,0,2461,0
289,2.890000000,1,49,0,125441,half,0,12,0,1,2,2347,10
290,2.900000000,1,49,0,125441,half,0,4,0,0,2,2470,9
291,2.910000000,1,49,0,125441,half,0,4,4,2,2,2339,8
292,2.920000000,1,49,0,125441,half,0,1,5,1,6,2471,7
293,2.930000000,1,49,0,125441,half,0,0,1,1,2,2337,0
294,2.940000000,1,49,0,125441,half,0,12,3,1,1,2480,1
295,2.950000000,1,49,0,125441,half,0,0,0,1,5,2334,1
296,2.960000000,1,49,0,125441,half,0,0,2,5,2,2477,2
297,2.970000000,1,49,0,125441,half,0,0,0,4,9,2340,0
298,2.980000000,1,49,0,125441,half,0,2,0,2,5,2471,6
299,2.990000000,1,49,0,125441,half,0,0,0,1,6,2351,16
300,3.000000000,1,49,0,125441,half,0,0,0,2,13,2459,5
301,3.010000000,1,49,0,125441,half,0,3,6,0,2,2342,5
302,3.020000000,1,49,0,125441,half,0,2,2,0,6,2457,14
303,3.030000000,1,49,0,125441,half,0,0,0,2,6,2357,0
304,3.040000000,1,49,0,125441,half,0,10,0,0,5,2461,0
305,3.050000000,1,49,0,125441,half,0,4,0,3,0,2345,20
306,3.060000000,1,49,0,125441,half,0,1,2,2,1,2458,2
307,3.070000000,1,49,0,125441,half,0,0,0,2,6,2367,13
308,3.080000000,1,49,0,125441,half,0,0,1,0,2,2453,0
309,3.090000000,1,49,0,125441,half,0,12,0,0,6,2369,13
310,3.100000000,1,49,0,125441,half,0,4,4,0,2,2444,9
311,3.110000000,1,49,0,125441,half,0,4,3,0,0,2370,6
312,3.120000000,1,49,0,125441,half,0,0,2,2,6,2427,13
313,3.130000000,1,49,0,125441,half,0,0,0,2,0,2377,1
314,3.140000000,1,49,0,125441,half,0,13,0,1,4,2437,3
315,3.150000000,1,49,0,125441,half,0,5,2,0,0,2379,9
316,3.160000000,1,49,0,125441,half,0,4,11,0,3,2433,9
317,3.170000000,1,49,0,125441,half,0,0,1,2,7,2394,16
318,3.180000000,1,49,0,125441,half,0,0,0,1,2,2444,1
319,3.190000000,1,49,0,125441,half,0,1,3,2,2,2379,3
320,3.200000000,1,49,0,125441,half,0,0,3,0,1,2443,4
321,3.210000000,1,49,0,125441,half,0,4,2,2,1,2372,6
322,3.220000000,1,49,0,125441,half,0,0,0,1,5,2458,0
323,3.230000000,1,49,0,125441,half,0,0,1,0,5,2365,0
324,3.240000000,1,49,0,125441,half,0,6,0,1,5,2461,13
325,3.250000000,1,49,0,125441,half,0,3,0,0,0,2356,9
326,3.260000000,1,49,0,125441,half,0,5,3,0,2,2446,8
327,3.270000000,1,49,0,125441,half,0,2,4,4,6,2375,7
328,3.280000000,1,49,0,125441,half,0,0,1,4,0,2425,2
329,3.290000000,1,49,0,125441,half,0,13,0,0,4,2395,13
330,3.300000000,1,49,0,125441,half,0,4,14,3,0,2401,9
331,3.310000000,1,49,0,125441,half,0,1,0,2,0,2413,1
332,3.320000000,1,49,0,125441,half,0,0,2,2,6,2399,12
333,3.330000000,1,49,0,125441,half,0,0,3,1,0,2409,0
334,3.340000000,1,49,0,125441,half,0,0,0,3,5,2403,12
335,3.350000000,1,49,0,125441,half,0,5,0,1,2,2419,6
336,3.360000000,1,49,0,125441,half,0,4,6,0,0,2391,4
337,3.370000000,1,49,0,125441,half,0,1,0,0,5,2419,14
338,3.380000000,1,49,0,125441,half,0,0,3,0,3,2400,0
339,3.390000000,1,49,0,125441,half,0,0,0,2,4,2431,9
340,3.400000000,1,49,0,125441,half,0,0,12,1,0,2391,5
341,3.410000000,1,49,0,125441,half,0,2,12,0,2,2441,7
342,3.420000000,1,49,0,125441,half,0,2,0,0,5,2394,13
343,3.430000000,1,49,0,125441,half,0,0,1,2,0,2426,0
344,3.440000000,1,49,0,125441,half,0,0,0,0,2,2392,0
345,3.450000000,1,49,0,125441,half,0,0,0,3,1,2427,1
346,3.460000000,1,49,0,125441,half,0,0,4,0,1,2374,4
347,3.470000000,1,49,0,125441,half,0,0,1,2,1,2442,0
348,3.480000000,1,49,0,125441,half,0,0,0,3,7,2387,14
349,3.490000000,1,49,0,125441,half,0,2,1,0,4,2433,5
350,3.500000000,1,49,0,125441,half,0,1,3,0,6,2379,14
351,3.510000000,1,49,0,125441,half,0,6,11,1,2,2447,8
352,3.520000000,1,49,0,125441,half,0,0,0,0,12,2377,0
353,3.530000000,1,49,0,125441,half,0,0,2,3,0,2443,0
354,3.540000000,1,49,0,125441,half,0,13,0,1,3,2379,1
355,3.550000000,1,49,0,125441,half,0,4,7,2,2,2446,7
356,3.560000000,1,49,0,125441,half,0,2,2,3,2,2388,3
357,3.570000000,1,49,0,125441,half,0,0,0,0,4,2442,16
358,3.580000000,1,49,0,125441,half,0,0,0,4,8,2377,1
359,3.590000000,1,49,0,125441,half,0,7,0,2,7,2451,0
360,3.600000000,1,49,0,125441,half,0,5,2,4,0,2375,6
361,3.610000000,1,49,0,125441,half,0,8,8,1,3,2433,8
362,3.620000000,1,49,0,125441,half,0,0,2,0,6,2387,4
363,3.630000000,1,49,0,125441,half,0,0,0,0,0,2455,0
364,3.640000000,1,49,0,125441,half,0,5,0,2,6,2375,1
365,3.650000000,1,49,0,125441,half,0,6,6,0,0,2456,5
366,3.660000000,1,49,0,125441,half,0,5,6,7,2,2361,5
367,3.670000000,1,49,0,125441,half,0,0,1,0,6,2479,3
368,3.680000000,1,49,0,125441,half,0,0,1,2,1,2360,0
369,3.690000000,1,49,0,125441,half,0,1,1,2,0,2485,4
370,3.700000000,1,49,0,125441,half,0,0,0,11,4,2332,1
371,3.710000000,1,49,0,125441,half,0,1,0,10,0,2487,1
372,3.720000000,1,49,0,125441,half,0,10,0,1,8,2347,3
373,3.730000000,1,49,0,125441,half,0,0,0,2,1,2486,11
374,3.740000000,1,49,0,125441,half,0,0,1,0,0,2341,0
375,3.750000000,1,49,0,125441,half,0,0,2,2,2,2485,0
376,3.760000000,1,49,0,125441,half,0,0,2,8,2,2343,5
377,3.770000000,1,49,0,125441,half,0,0,0,3,2,2475,0
378,3.780000000,1,49,0,125441,half,0,2,2,2,6,2354,15
379,3.790000000,1,49,0,125441,half,0,2,2,0,2,2487,10
380,3.800000000,1,49,0,125441,half,0,0,0,0,6,2366,12
381,3.810000000,1,49,0,125441,half,0,1,2,3,2,2485,0
382,3.820000000,1,49,0,125441,half,0,3,3,1,5,2347,7
383,3.830000000,1,49,0,125441,half,0,0,0,3,2,2471,0
384,3.840000000,1,49,0,125441,half,0,10,0,1,4,2359,4
385,3.850000000,1,49,0,125441,half,0,5,0,0,1,2471,11
386,3.860000000,1,49,0,125441,half,0,5,1,2,0,2343,6
387,3.870000000,1,49,0,125441,half,0,2,0,0,3,2475,7
388,3.880000000,1,49,0,125441,half,0,0,1,1,6,2357,0
389,3.890000000,1,49,0,125441,half,0,13,0,0,8,2486,12
390,3.900000000,1,49,0,125441,half,0,8,5,0,2,2326,10
391,3.910000000,1,49,0,125441,half,0,5,3,1,0,2472,8
392,3.920000000,1,49,0,125441,half,0,0,0,1,6,2339,8
393,3.930000000,1,49,0,125441,half,0,0,0,5,3,2471,0
394,3.940000000,1,49,0,125441,half,0,8,0,1,1,2352,11
395,3.950000000,1,49,0,125441,half,0,0,3,3,0,2474,2
396,3.960000000,1,49,0,125441,half,0,0,1,0,1,2345,5
397,3.970000000,1,49,0,125441,half,0,0,0,1,7,2470,2
398,3.980000000,1,49,0,125441,half,0,1,0,0,2,2346,2
399,3.990000000,1,49,0,125441,half,0,0,2,4,6,2479,6
400,4.000000000,1,49,0,125441,half,0,0,1,0,4,2353,6
401,4.010000000,1,49,0,125441,half,0,5,1,0,3,2468,5
402,4.020000000,1,49,0,125441,half,0,0,2,0,6,2345,5
